Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
boiled-sweet-potato,Boiled Sweet Potato,<p><strong>Boiled Sweet Potato</strong></p>,Balanced Bites,,Side Dish,"side, sweet potato",false,Title,Default Title,,,,,,,,BOILEDSWEETPOTATO,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Boiled_Sweet_Potato_a13bf063-10e8-476b-9f0a-c082dd2dc1a4.png?v=1777381795,1,Boiled Sweet Potato — photo 1,false,,,,,,,,kg,,,draft
grilled-sweet-potato-whole,Grilled Sweet Potato (Whole),<p><strong>Whole grilled/baked sweet potato</strong></p>,Balanced Bites,,Side Dish,"side, sweet potato",false,Title,Default Title,,,,,,,,GRILLEDSWEETPOTATOWH,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Grilled_Sweet_Potato_8ecf5196-30b9-4328-88ad-f3fc7da209d7.png?v=1777381799,1,Grilled Sweet Potato (Whole) — photo 1,false,,,,,,,,kg,,,draft
grilled-sweet-potato-whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0040_3160cd94-4cd9-4fac-87f1-6840c14ceedc.jpg?v=1777381768,2,Grilled Sweet Potato (Whole) — photo 2,,,,,,,,,,,,
grilled-sweet-potato-fingers,Grilled Sweet Potato Fingers,<p><strong>Grilled Sweet Potato Fingers</strong></p>,Balanced Bites,,Side Dish,"side, sweet potato",false,Title,Default Title,,,,,,,,GRILLEDSWEETPOTATOFI,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Grilled_Sweet_Potato_fingers_979808df-9315-404f-92c2-016221864e08.png?v=1777381798,1,Grilled Sweet Potato Fingers — photo 1,false,,,,,,,,kg,,,draft
grilled-sweet-potato-fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0039_c4e7ad92-e34b-44f8-9a6f-919d482e4f68.jpg?v=1777381769,2,Grilled Sweet Potato Fingers — photo 2,,,,,,,,,,,,
roasted-potatoes-zucchini-carrots,"Roasted Potatoes, Zucchini and Carrots","<p><strong>Roasted Potatoes, Zucchini and Carrots</strong></p>",Balanced Bites,,Side Dish,"side, vegetables",false,Title,Default Title,,,,,,,,ROASTEDPOTATOESZUCCH,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0037_d0d6b115-ff55-4c42-91db-d9c7b5bfac4d.jpg?v=1777381769,1,"Roasted Potatoes, Zucchini and Carrots — photo 1",false,,,,,,,,kg,,,draft
cheesy-baked-chicken-meatballs,Cheesy Baked Chicken Meatballs with Caramelized Onion,<p><strong>Cheesy Baked Chicken Meatballs with Caramelized Onion</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, meatball",false,Title,Default Title,,,,,,,,CHEESYBAKEDCHICKENME,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0041_617cb7b7-45dc-4219-8de9-eb475bc9c447.jpg?v=1777381768,1,Cheesy Baked Chicken Meatballs with Caramelized Onion — photo 1,false,,,,,,,,kg,,,draft
cheesy-baked-chicken-meatballs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0042_f600cbc9-afff-4ece-8cd0-6641181ced6b.jpg?v=1777381768,2,Cheesy Baked Chicken Meatballs with Caramelized Onion — photo 2,,,,,,,,,,,,
stuffed-bell-peppers,Stuffed Bell Peppers (Beef or Chicken),<p><strong>Stuffed Bell Peppers with Ground Beef or Chicken</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, low-carb, meal",false,Title,Default Title,,,,,,,,STUFFEDBELLPEPPERS,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0035_280a52be-2aee-4ae1-99c8-bc475049455b.jpg?v=1777381768,1,Stuffed Bell Peppers (Beef or Chicken) — photo 1,false,,,,,,,,kg,,,draft
keto-swedish-meatball,Keto Swedish Meatball,<p><strong>Keto Swedish Meatball</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, keto, meal, meatball",false,Title,Default Title,,,,,,,,KETOSWEDISHMEATBALL,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0034_1fe48f55-7b7a-4b68-a145-9534feedc1b5.jpg?v=1777381769,1,Keto Swedish Meatball — photo 1,false,,,,,,,,kg,,,draft
chicken-shish-tawook,Chicken Shish Tawook,<p><strong>Chicken Shish Tawook</strong></p>,Balanced Bites,,Prepared Meal,"grill, high-protein, meal",false,Title,Default Title,,,,,,,,CHICKENSHISHTAWOOK,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0032_cea76563-7e77-45e8-a0f9-3e6fabf4277c.jpg?v=1777381769,1,Chicken Shish Tawook — photo 1,false,,,,,,,,kg,,,draft
dawood-basha-kofta,Dawood Basha Kofta,<p><strong>Dawood Basha Kofta</strong></p>,Balanced Bites,,Prepared Meal,"arabic, high-protein, kofta, meal",false,Title,Default Title,,,,,,,,DAWOODBASHAKOFTA,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0030_b1ef42e5-7986-4226-b1d0-6b3e9bf09fd7.jpg?v=1777381769,1,Dawood Basha Kofta — photo 1,false,,,,,,,,kg,,,draft
doner-kabab,Doner Kebab,<p><strong>Doner Kebab</strong></p>,Balanced Bites,,Prepared Meal,"doner, high-protein, meal",false,Title,Default Title,,,,,,,,DONERKABAB,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0029_cfa031e4-a320-4943-9e9a-5025374e00a6.jpg?v=1777381767,1,Doner Kebab — photo 1,false,,,,,,,,kg,,,draft
classic-beef-stroganoff,Classic Beef Stroganoff,<p><strong>Classic Beef Stroganoff</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, stroganoff",false,Title,Default Title,,,,,,,,CLASSICBEEFSTROGANOF,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0026_be31c96d-d4d2-4237-8522-e76762da9cb2.jpg?v=1777381769,1,Classic Beef Stroganoff — photo 1,false,,,,,,,,kg,,,draft
chicken-mushroom-stroganoff,Chicken Mushroom Stroganoff,<p><strong>Chicken Mushroom Stroganoff</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, stroganoff",false,Title,Default Title,,,,,,,,CHICKENMUSHROOMSTROG,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0025_fc5b3b58-d258-4701-b263-723681fc29f3.jpg?v=1777381766,1,Chicken Mushroom Stroganoff — photo 1,false,,,,,,,,kg,,,draft
keto-taco-salad,Keto Taco Salad,<h2>Keto Taco Salad</h2>,Balanced Bites,Uncategorized,Salad,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
creamy-tahini-with-sumac,Creamy Tahini with Sumac,<h2>Creamy Tahini with Sumac</h2>,Balanced Bites,,Salad,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
creamy-beetroot-hummus-with-tahini,Creamy Beetroot Hummus with Tahini,<h2>Creamy Beetroot Hummus with Tahini</h2>,Balanced Bites,,Salad,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
grilled-chicken-caesar-salad,Grilled Chicken Caesar Salad,<p><strong>Grilled Chicken Caesar Salad</strong></p>,Balanced Bites,,Salad,"high-protein, salad",false,Title,Default Title,,,,,,,,GRILLEDCHICKENCAESAR,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Grilled_Chicken_Caesar_Salad_c6ca3bba-9c7d-4a0f-94f7-94cb88a2cfc5.png?v=1777381797,1,Grilled Chicken Caesar Salad — photo 1,false,,,,,,,,kg,,,draft
mixed-cabbage-salad-with-beetroot-and-carrot,Mixed Cabbage Salad with Beetroot & Carrot,<h2>Mixed Cabbage Salad with Beetroot &amp; Carrot</h2>,Balanced Bites,,Salad,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
rocca-salad,Ruccola (Rocca) Salad,<p><strong>Ruccola (Rocca) Salad</strong></p>,Balanced Bites,,Salad,"fresh, salad",false,Title,Default Title,,,,,,,,ROCCASALAD,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Rocca_Salad_6031b229-72a6-4adf-9273-7ceeb9170b95.png?v=1777381796,1,Ruccola (Rocca) Salad — photo 1,false,,,,,,,,kg,,,draft
baked-potatoes,Baked Potatoes,<p><strong>Baked Potatoes</strong></p>,Balanced Bites,,Side Dish,"potatoes, side",false,Title,Default Title,,,,,,,,BAKEDPOTATOES,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Baked_Potatoes_63e7962f-1f34-4ec9-9e08-fbe671b99ac1.png?v=1777381795,1,Baked Potatoes — photo 1,false,,,,,,,,kg,,,draft
baked-potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0036_ad608c69-c4c5-4e73-a648-b7df5c8971a9.jpg?v=1777381768,2,Baked Potatoes — photo 2,,,,,,,,,,,,
seasonal-sauteed-vegetables,Seasonal Sautéed Vegetables,<p><strong>Seasonal Sautéed Vegetables</strong></p>,Balanced Bites,,Side Dish,"side, vegetables",false,Title,Default Title,,,,,,,,SEASONALSAUTEEDVEGET,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Seasonal_Sauteed_Vegetables_30a97f40-9d20-491b-924e-07bafd43569d.png?v=1777381795,1,Seasonal Sautéed Vegetables — photo 1,false,,,,,,,,kg,,,draft
seasonal-sauteed-vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0038_c84a0a37-2c60-4021-a8ef-ebc93990c955.jpg?v=1777381767,2,Seasonal Sautéed Vegetables — photo 2,,,,,,,,,,,,
steamed-egyptian-white-rice,Steamed Egyptian White Rice,<p><strong>Steamed Egyptian White Rice</strong></p>,Balanced Bites,,Side Dish,"grain, rice, side",false,Title,Default Title,,,,,,,,STEAMEDEGYPTIANWHITE,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Steamed_Egyptian_White_Rice_3bf32a87-6a69-4ad7-9f47-84b1a49ef63d.png?v=1777381794,1,Steamed Egyptian White Rice — photo 1,false,,,,,,,,kg,,,draft
basmati-rice,Basmati Rice,<p><strong>Basmati Rice</strong></p>,Balanced Bites,,Side Dish,"grain, rice, side",false,Title,Default Title,,,,,,,,BASMATIRICE,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basmati_Rice_b806609c-55c6-4e9a-a97c-a75273e9728f.png?v=1777381793,1,Basmati Rice — photo 1,false,,,,,,,,kg,,,draft
boiled-sweet-potatoes,Boiled Sweet Potatoes,<h2>Boiled Sweet Potatoes</h2>,Balanced Bites,,Side Dish,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,50.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
grilled-sweet-potatoes,Grilled Sweet Potatoes,<h2>Grilled Sweet Potatoes</h2>,Balanced Bites,,Side Dish,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,50.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
